metafeatures,target
"[0.26863786259667444, 61.30611403534003, 1.4806713339599, 0.7071230158730157, 0.0625, 0.8857142857142858, 0.03125, 0.7572817460317459, 0.0625, 0.6873809523809523, 0.0625, 0.6357936507936508, 0.046875]",0
"[0.5600270501084725, 135.14002942901286, 1.0685748630031175, 0.459828722002635, 0.125, 0.6049174979609763, 0.09375, 0.7060016312190226, 0.0625, 0.4505646527385657, 0.0625, 0.43133226676704933, 0.0]",1
"[0.6972646145068585, 1300.2082198691544, 0.5044035701177434, 0.9386796733212339, 0.0625, 0.9543805634776596, 0.109375, 0.9158067582749977, 0.0625, 0.8824075274392879, 0.0625, 0.808493215798116, 0.0625]",0
"[0.012400670667631054, 47.401319205311246, 8.69013370300987, 0.9631008911881127, 0.59375, 0.9763895974447406, 0.03125, 0.9826410623242545, 0.03125, 0.9834518691544144, 0.03125, 0.9834518691544144, 0.0625]",0
"[0.36628000714210573, 3686.128256862358, 1.1209201105317794, 0.7878128466652179, 0.203125, 0.8296717347643972, 0.109375, 0.8828410109247423, 0.015625, 0.43574570897989107, 0.03125, 0.4282678047572393, 0.0625]",0
"[0.5309830472185297, 2219.3638242940983, 0.662929265026992, 0.8382204418025314, 0.0625, 0.9268990960742729, 0.078125, 0.9001154250015209, 0.109375, 0.9067596437195808, 0.046875, 0.9172139379052183, 0.0625]",0
"[0.4048955217168707, 235.3615336759734, 0.976230838456313, 0.7472514035325506, 0.046875, 0.8585529525902041, 0.0625, 0.8082291592358505, 0.0625, 0.632387298297927, 0.0625, 0.5538601692799361, 0.0625]",0
"[0.2459127488478442, 1646.5528671540126, 1.6727604712530946, 0.7605367194395449, 0.015625, 0.7588796499200512, 0.03125, 0.9045141380736839, 0.015625, 0.7538882188921797, 0.015625, 0.7065142833772355, 0.015625]",1
"[0.6419363587593904, 58399.56773256083, 0.6464383405526942, 0.8099027765678555, 0.390625, 0.8315560261543755, 0.109375, 0.7328026019003474, 0.0625, 0.8315810637107101, 0.078125, 0.8315810637107101, 0.078125]",2
"[0.29743199498855305, 2969.2237503160577, 1.3577113172661617, 0.8414119011459457, 0.40625, 0.9536296918760492, 0.0625, 0.7202186261523403, 0.03125, 0.9933232169954476, 0.03125, 0.8458628066806231, 0.015625]",1
"[0.7222364097611819, 2304.593086778019, 0.49803987790561677, 0.7300000000000001, 0.03125, 0.76, 0.09375, 0.6060000000000001, 0.03125, 0.7, 0.0625, 0.7, 0.0625]",0
"[0.5687897206066522, 964.2725251674408, 0.7133822795351279, 0.7564935064935066, 0.03125, 0.765686944634313, 0.03125, 0.6796650717703349, 0.0625, 0.7149008885850991, 0.0625, 0.6328776486671224, 0.0625]",0
"[0.595130350704165, 1039.8866251008255, 0.7628477502434053, 0.9586501618406089, 0.0625, 0.9586909864987024, 0.046875, 0.9515268422126966, 0.0625, 0.924323622896801, 0.0625, 0.924323622896801, 0.0625]",0
"[0.7025413950356174, 1006.8074144957931, 0.5789658115737796, 0.7473513513513513, 0.0625, 0.7687207207207207, 0.0625, 0.569963963963964, 0.03125, 0.762054054054054, 0.046875, 0.762054054054054, 0.03125]",0
"[0.3895016925056462, 240.76631323056972, 0.9675108708997435, 0.8178680014831293, 0.0625, 0.827982944011865, 0.046875, 0.591449758991472, 0.0625, 0.6859881349647757, 0.046875, 0.7315943641082685, 0.046875]",0
"[0.12655658623145472, 52.614660515883806, 2.6530367501611636, 0.16748182967615627, 0.203125, 0.7107932335427034, 0.25, 0.5256204965059684, 0.0625, 0.5556713638959132, 0.046875, 0.5772532357179758, 0.0625]",1
"[0.8475319360835041, 4519.933422105306, 0.5855584148216163, 0.8216885343215848, 0.25, 0.8676362405756416, 0.203125, 0.787848669663722, 0.015625, 0.7730475836472476, 0.03125, 0.6059555892945166, 0.03125]",2
"[0.9808012284453705, 1547.0821596373014, 0.44519022087226545, 0.8284612538774582, 0.03125, 0.8437035772218902, 0.0, 0.6036967472039615, 0.0625, 0.779772475027747, 0.0625, 0.8284975383477049, 0.0625]",0
"[0.8572549371115099, 349.4820464781444, 0.6562431307831165, 0.5581480000410143, 0.015625, 0.7102079424159463, 0.03125, 0.6414044315933024, 0.0625, 0.7135977729244208, 0.0625, 0.7135977729244208, 0.0625]",0
"[0.9877522554747115, 3328.677372028816, 0.23113785340253235, 0.8917911255411255, 0.109375, 0.9341346378846378, 0.03125, 0.8901114426114427, 0.109375, 0.9305873405873404, 0.0, 0.9305873405873404, 0.0625]",0
"[0.5467584892393395, 6376.1190824749365, 0.6101756341028424, 0.23440718746259237, 0.171875, 0.2625402713501458, 0.234375, 0.20266392396374858, 0.09375, 0.2057422922867933, 0.078125, 0.20565524949290886, 0.015625]",0
"[0.5392991912379833, 16224.455321839974, 0.6647590206856908, 0.7598620485139848, 0.15625, 0.8438764424598592, 0.046875, 0.6678343213488337, 0.03125, 0.8352828461689805, 0.03125, 0.8352828461689805, 0.046875]",1
"[0.6698047866103679, 7297.726811254146, 0.47351817696858717, 0.9995283018867924, 0.109375, 0.999052111410602, 0.203125, 0.3706101721418026, 0.125, 0.4530135875359765, 0.03125, 0.4530135875359765, 0.03125]",0
"[0.39559167198546236, 1720.344902225193, 1.025165385016438, 0.41410944619023954, 0.1875, 0.954667105253949, 0.21875, 0.908266203817109, 0.125, 0.9655382375789981, 0.03125, 0.9387603843704291, 0.03125]",1
"[0.5842257305055926, 69093.34966915922, 0.6104682039477688, 0.7952380584336447, 0.5, 0.8279558426270286, 0.078125, 0.740653915828182, 0.09375, 0.7607182417754828, 0.140625, 0.7607182417754828, 0.078125]",1
"[0.9957037328869507, 24559.20704734215, 0.4043211239910511, 0.8043280130459559, 0.359375, 0.8091978209443166, 0.015625, 0.7095105835242903, 0.03125, 0.8065229174782125, 0.03125, 0.8012887576985982, 0.03125]",0
"[0.16394326630552236, 367.9771642687542, 2.347211165974487, 0.8486876736051574, 0.28125, 0.977164420515986, 0.015625, 0.905749745664872, 0.046875, 0.8209398968942537, 0.046875, 0.8209398968942537, 0.03125]",1
"[0.5410542319474954, 1118.4723802507572, 0.6449264406465076, 0.8926681913474367, 0.046875, 0.9111219109332318, 0.0625, 0.8463229782097708, 0.0625, 0.914929165872562, 0.109375, 0.914929165872562, 0.03125]",0
"[0.5668926666306254, 1656.9576500860678, 0.7745065167917251, 0.5555470608222901, 0.046875, 0.5592167855929324, 0.046875, 0.5170234454638125, 0.0625, 0.5541794087665648, 0.0625, 0.5537164458036017, 0.0625]",0
"[0.26404231937993805, 427.5565911760813, 1.6007035295724215, 0.1415132588916947, 0.046875, 0.5794285405806632, 0.0625, 0.48440540976416485, 0.109375, 0.40710800836168604, 0.078125, 0.3684088915543856, 0.0625]",0
"[0.6166327343906929, 14675.657079943683, 0.5128919907945317, 0.8728044864179456, 0.171875, 0.8594024584098336, 0.265625, 0.8051959495837984, 0.1875, 0.8570104648418594, 0.03125, 0.8586008616034464, 0.03125]",0
"[0.48431902732162724, 4892.457139820039, 0.757113142258182, 0.8886251552530433, 0.03125, 0.9431650876323058, 0.03125, 0.978293365762499, 0.015625, 0.9460636383569435, 0.015625, 0.9460636383569435, 0.03125]",1
